Logging to output/continuous/PPO/train/11-06-2024-01-11-04/
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.3         |
|    ep_rew_mean          | -17.3        |
| time/                   |              |
|    fps                  | 969          |
|    iterations           | 10           |
|    time_elapsed         | 2            |
|    total_timesteps      | 2560         |
| train/                  |              |
|    approx_kl            | 0.0109599205 |
|    clip_fraction        | 0.127        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 16.1         |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.0174      |
|    std                  | 0.984        |
|    value_loss           | 37.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.5        |
|    ep_rew_mean          | -18.5       |
| time/                   |             |
|    fps                  | 927         |
|    iterations           | 20          |
|    time_elapsed         | 5           |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.013133501 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | 2.38e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 17.2        |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0233     |
|    std                  | 0.989       |
|    value_loss           | 29.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.9        |
|    ep_rew_mean          | -17.9       |
| time/                   |             |
|    fps                  | 927         |
|    iterations           | 30          |
|    time_elapsed         | 8           |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.008094462 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.77       |
|    explained_variance   | 1.19e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 3.4         |
|    n_updates            | 580         |
|    policy_gradient_loss | -0.0131     |
|    std                  | 0.966       |
|    value_loss           | 20.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.7        |
|    ep_rew_mean          | -17.7       |
| time/                   |             |
|    fps                  | 925         |
|    iterations           | 40          |
|    time_elapsed         | 11          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.008846686 |
|    clip_fraction        | 0.0811      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.74       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 1.24        |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.0115     |
|    std                  | 0.953       |
|    value_loss           | 4.98        |
-----------------------------------------
