Logging to output/continuous/PPO/train/11-06-2024-01-11-57/
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.3        |
|    ep_rew_mean          | -17.3       |
| time/                   |             |
|    fps                  | 1224        |
|    iterations           | 10          |
|    time_elapsed         | 2           |
|    total_timesteps      | 2560        |
| train/                  |             |
|    approx_kl            | 0.005823401 |
|    clip_fraction        | 0.082       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | 0.000918    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.07        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00978    |
|    std                  | 0.989       |
|    value_loss           | 5.97        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 18.5       |
|    ep_rew_mean          | -18.5      |
| time/                   |            |
|    fps                  | 1190       |
|    iterations           | 20         |
|    time_elapsed         | 4          |
|    total_timesteps      | 5120       |
| train/                  |            |
|    approx_kl            | 0.01823268 |
|    clip_fraction        | 0.0885     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.76      |
|    explained_variance   | 0.0184     |
|    learning_rate        | 0.0003     |
|    loss                 | 1.67       |
|    n_updates            | 380        |
|    policy_gradient_loss | -0.0177    |
|    std                  | 0.961      |
|    value_loss           | 2.26       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.7        |
|    ep_rew_mean          | -17.7       |
| time/                   |             |
|    fps                  | 1194        |
|    iterations           | 30          |
|    time_elapsed         | 6           |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.011320582 |
|    clip_fraction        | 0.0734      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.72       |
|    explained_variance   | 1           |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0232     |
|    n_updates            | 580         |
|    policy_gradient_loss | -0.0115     |
|    std                  | 0.936       |
|    value_loss           | 5.81e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.7        |
|    ep_rew_mean          | -17.7       |
| time/                   |             |
|    fps                  | 1188        |
|    iterations           | 40          |
|    time_elapsed         | 8           |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.036608964 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 1           |
|    learning_rate        | 0.0003      |
|    loss                 | -0.045      |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.0241     |
|    std                  | 0.92        |
|    value_loss           | 4.67e-06    |
-----------------------------------------
