Logging to output/continuous/PPO/train/11-06-2024-01-14-24/
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 17.3          |
|    ep_rew_mean          | -17.3         |
| time/                   |               |
|    fps                  | 1569          |
|    iterations           | 10            |
|    time_elapsed         | 1             |
|    total_timesteps      | 2560          |
| train/                  |               |
|    approx_kl            | 0.00044310582 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -2.84         |
|    explained_variance   | -3.81e-06     |
|    learning_rate        | 0.0001        |
|    loss                 | 8.56          |
|    n_updates            | 90            |
|    policy_gradient_loss | -0.00189      |
|    std                  | 1             |
|    value_loss           | 17.9          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18.5         |
|    ep_rew_mean          | -18.5        |
| time/                   |              |
|    fps                  | 1560         |
|    iterations           | 20           |
|    time_elapsed         | 3            |
|    total_timesteps      | 5120         |
| train/                  |              |
|    approx_kl            | 0.0058855168 |
|    clip_fraction        | 0.0105       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.000108     |
|    learning_rate        | 0.0001       |
|    loss                 | 6.21         |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00758     |
|    std                  | 1            |
|    value_loss           | 14           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.7        |
|    ep_rew_mean          | -17.7       |
| time/                   |             |
|    fps                  | 1559        |
|    iterations           | 30          |
|    time_elapsed         | 4           |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.004889202 |
|    clip_fraction        | 0.00625     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | -1.79e-05   |
|    learning_rate        | 0.0001      |
|    loss                 | 5.56        |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00466    |
|    std                  | 1           |
|    value_loss           | 10.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.7        |
|    ep_rew_mean          | -17.7       |
| time/                   |             |
|    fps                  | 1536        |
|    iterations           | 40          |
|    time_elapsed         | 6           |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.013605852 |
|    clip_fraction        | 0.0781      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | -3.86e-05   |
|    learning_rate        | 0.0001      |
|    loss                 | 3.87        |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.00877    |
|    std                  | 0.997       |
|    value_loss           | 8.28        |
-----------------------------------------
